"Glioblastoma Multiforme (TCGA, PanCancer Atlas)",gbm_tcga_pan_can_atlas_2018,397
"Glioblastoma Multiforme (TCGA, Provisional)",gbm_tcga,290
"Glioma (MSK, 2018)",glioma_msk_2018,91
"Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)",hnsc_broad,74
"Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)",hnsc_jhu,32
"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",hnsc_tcga_pub,279
"Head and Neck Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",hnsc_tcga_pan_can_atlas_2018,515
"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",hnsc_tcga,512
"Hepatocellular Adenoma (INSERM, Cancer Cell 2014)",liad_inserm_fr_2014,46
"Hepatocellular Carcinoma (MSK, Clin Cancer Res 2018)",hcc_mskimpact_2018,127
"Hepatocellular Carcinomas (INSERM, Nat Genet 2015)",hcc_inserm_fr_2015,243
"Histiocytosis Cobimetinib (MSK, Nature 2019)",histiocytosis_cobi_msk_2019,51
"Hypodiploid Acute Lymphoid Leukemia (St Jude, Nat Genet 2013)",all_stjude_2013,44
"Insulinoma (Shanghai, Nat Commun 2013)",panet_shanghai_2013,10
"Intrahepatic Cholangiocarcinoma (JHU, Nat Genet 2013)",chol_jhu_2013,40
"Intrahepatic Cholangiocarcinoma (Shanghai, Nat Commun 2014)",ihch_smmu_2014,103
"Kidney Chromophobe (TCGA, Cancer Cell 2014)",kich_tcga_pub,65
"Kidney Chromophobe (TCGA, PanCancer Atlas)",kich_tcga_pan_can_atlas_2018,65
"Kidney Chromophobe (TCGA, Provisional)",kich_tcga,66
"Kidney Renal Clear Cell Carcinoma (BGI, Nat Genet 2012)",kirc_bgi,98
"Kidney Renal Clear Cell Carcinoma (IRC, Nat Genet 2014)",ccrcc_irc_2014,78
"Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)",kirc_tcga_pub,426
"Kidney Renal Clear Cell Carcinoma (TCGA, PanCancer Atlas)",kirc_tcga_pan_can_atlas_2018,402
"Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)",kirc_tcga,451
"Kidney Renal Papillary Cell Carcinoma (TCGA, PanCancer Atlas)",kirp_tcga_pan_can_atlas_2018,276
"Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)",kirp_tcga,282
"Liver Hepatocellular Adenoma and Carcinomas (MSK, PLOS One 2018)",hcc_msk_venturaa_2018,19
"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)",lihc_amc_prv,231
"Liver Hepatocellular Carcinoma (RIKEN, Nat Genet 2012)",lihc_riken,27
"Liver Hepatocellular Carcinoma (TCGA, PanCancer Atlas)",lihc_tcga_pan_can_atlas_2018,366
"Liver Hepatocellular Carcinoma (TCGA, Provisional)",lihc_tcga,373
"Low-Grade Gliomas (UCSF, Science 2014)",lgg_ucsf_2014,61
"Lung Adenocarcinoma (Broad, Cell 2012)",luad_broad,183
"Lung Adenocarcinoma (MSKCC, Science 2015)",luad_mskcc_2015,35
"Lung Adenocarcinoma (TCGA, Nature 2014)",luad_tcga_pub,230
"Lung Adenocarcinoma (TCGA, PanCancer Atlas)",luad_tcga_pan_can_atlas_2018,566
"Lung Adenocarcinoma (TCGA, Provisional)",luad_tcga,230
"Lung Adenocarcinoma (TSP, Nature 2008)",luad_tsp,163
"Lung Squamous Cell Carcinoma (TCGA, Nature 2012)",lusc_tcga_pub,178
"Lung Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",lusc_tcga_pan_can_atlas_2018,484
"Lung Squamous Cell Carcinoma (TCGA, Provisional)",lusc_tcga,179
"Lymphoid Neoplasm Diffuse Large B-cell Lymphoma (TCGA, Provisional)",dlbc_tcga,48
"Malignant Peripheral Nerve Sheath Tumor (MSKCC, Nat Genet 2014)",msk_impact_2017,15
"Mantle Cell Lymphoma (IDIBIPS, PNAS 2013)",mixed_allen_2018,29
Mature B-cell malignancies (MD Anderson Cancer Center),mpnst_mskcc,755
"Medulloblastoma (Broad, Nature 2012)",mcl_idibips_2013,92
"Medulloblastoma (ICGC, Nature 2012)",mbn_mdacc_2013,125
"Medulloblastoma (PCGP, Nature 2012)",mbl_broad_2012,37
"Medulloblastoma (Sickkids, Nature 2016)",mbl_icgc,46
"Melanoma (Broad/Dana Farber, Nature 2012)",mbl_pcgp,26
"Merged Cohort of LGG and GBM (TCGA, Cell 2016)",mbl_sickkids_2016,812
"Mesothelioma (TCGA, PanCancer Atlas)",skcm_broad_dfarber,86
"Mesothelioma (TCGA, Provisional)",lgggbm_tcga_pub,87
"Metastatic Breast Cancer (INSERM, PLoS Med 2016)",meso_tcga_pan_can_atlas_2018,216
"Metastatic Colorectal Cancer (MSKCC, Cancer Cell 2018)",meso_tcga,1134
"Metastatic Esophagogastric Cancer (MSKCC, Cancer Discovery 2017)",brca_igr_2015,341
"Metastatic Melanoma (MSKCC, JCO Precis Oncol 2017)",crc_msk_2017,66
"Metastatic Melanoma (UCLA, Cell 2016)",egc_msk_2017,38
"Metastatic Prostate Adenocarcinoma (MCTP, Nature 2012)",skcm_vanderbilt_mskcc_2015,61
"Metastatic Prostate Adenocarcinoma (SU2C/PCF Dream Team, PNAS 2019)",skcm_ucla_2016,444
"Metastatic Prostate Cancer (SU2C/PCF Dream Team, Cell 2015)",prad_mich,150
"Metastatic Solid Cancers (UMich, Nature 2017)",prad_su2c_2019,500
